Event.Nr,CDA.nSCR,CDA.Latency,CDA.AmpSum,CDA.SCR,CDA.ISCR,CDA.PhasicMax,CDA.Tonic,TTP.nSCR,TTP.Latency,TTP.AmpSum,Global.Mean,Global.MaxDeflection,Event.NID,Event.Name,Condition,group,sub
1,5,0.8435,0.2852,0.0003,0.1339,8.1296,2.3324,1,3.9335,0.5884,2.4822,0.5884,5,5,CSplusUS1,HC,189
2,4,0.7335,0.1033,0.0012,0.4737,0.3046,4.0029,0,   NaN,0.0,4.3933,0.0,5,5,CSminus1,HC,189
3,3,2.9835,0.0783,0.0008,0.3237,0.1352,3.9579,1,2.8335,0.026,3.99,0.0154,5,5,CSplus1,HC,189
4,1,3.4935,0.1772,0.0002,0.0993,7.0748,3.8756,1,3.5335,0.5186,3.9212,0.5186,5,5,CSplusUS1,HC,189
5,0,   NaN,0.0,0.0004,0.1532,0.1604,4.2513,0,   NaN,0.0,4.3461,0.0,5,5,CSminus1,HC,189
6,0,   NaN,0.0,0.0001,0.058,0.0287,4.221,0,   NaN,0.0,4.2249,0.0001,5,5,CSplus1,HC,189
7,0,   NaN,0.0,0.0001,0.0355,0.0224,4.1349,0,   NaN,0.0,4.146,0.0,5,5,CSplus1,HC,189
8,0,   NaN,0.0,0.0002,0.0685,0.0338,4.0652,0,   NaN,0.0,4.079,0.0001,5,5,CSminus1,HC,189
9,2,2.6025,0.2063,0.0008,0.3132,7.1182,4.0137,3,1.9025,4.6952,4.0316,0.5202,5,5,CSplusUS1,HC,189
10,0,   NaN,0.0,0.0,0.0,0.1275,6.0637,0,   NaN,0.0,6.3772,0.0,5,5,CSminus1,HC,189
11,3,1.3525,0.2062,0.0006,0.2282,6.6907,5.5219,1,3.5325,0.4897,5.6289,0.4897,5,5,CSplusUS1,HC,189
12,4,0.9925,0.127,0.0015,0.6094,0.348,6.4467,0,   NaN,0.0,6.9818,0.0,5,5,CSplus1,HC,189
13,5,0.5925,0.067,0.0007,0.2823,0.118,6.1261,0,   NaN,0.0,6.1796,0.0,5,5,CSminus1,HC,189
14,0,   NaN,0.0,0.0002,0.0926,0.0713,5.8406,0,   NaN,0.0,5.8735,0.0,5,5,CSplus1,HC,189
15,1,2.8425,0.011,0.0003,0.102,0.099,5.7183,0,   NaN,0.0,5.7428,0.0027,5,5,CSminus1,HC,189
16,0,   NaN,0.0,0.0001,0.0552,0.0531,5.6756,0,   NaN,0.0,5.7032,0.0004,5,5,CSminus1,HC,189
17,1,3.1825,0.1756,0.002,0.7992,0.484,5.6143,1,2.1325,0.3265,5.6536,0.1804,5,5,CSplus1,HC,189
18,2,0.7225,0.183,0.0001,0.0324,6.5785,5.7679,2,3.5325,5.0034,5.876,0.4892,5,5,CSplusUS1,HC,189
19,4,0.8015,0.0865,0.0011,0.4211,0.3142,7.0293,0,   NaN,0.0,7.6599,0.0,5,5,CSminus1,HC,189
20,2,3.0515,0.3701,0.0044,1.7409,0.9473,6.7172,1,2.0815,0.3975,6.8108,0.3015,5,5,CSplus1,HC,189
21,0,   NaN,0.0,0.0,0.0,0.077,6.7307,0,   NaN,0.0,6.7791,0.0001,5,5,CSplus1,HC,189
22,0,   NaN,0.0,0.0003,0.1035,0.0965,6.6398,0,   NaN,0.0,6.6942,0.0,5,5,CSminus1,HC,189
23,0,   NaN,0.0,0.0001,0.0345,0.0574,6.4314,0,   NaN,0.0,6.4478,0.0001,5,5,CSplus1,HC,189
24,2,2.1015,0.1691,0.0004,0.1625,6.3557,6.4898,1,3.5315,0.4735,6.6585,0.4735,5,5,CSplusUS1,HC,189
25,1,1.1815,0.0112,0.0004,0.1619,0.1808,7.2567,0,   NaN,0.0,7.519,0.0,5,5,CSminus1,HC,189
26,3,1.9415,0.0439,0.0007,0.2882,0.1385,6.775,0,   NaN,0.0,6.8215,0.0,5,5,CSplus1,HC,189
27,0,   NaN,0.0,0.0002,0.0938,0.0754,6.4831,0,   NaN,0.0,6.5212,0.0,5,5,CSminus1,HC,189
28,0,   NaN,0.0,0.0002,0.0876,0.0622,6.298,0,   NaN,0.0,6.3119,0.0002,5,5,CSplus1,HC,189
29,0,   NaN,0.0,0.0001,0.0565,0.035,6.1652,0,   NaN,0.0,6.1915,0.0,5,5,CSplus1,HC,189
30,0,   NaN,0.0,0.0001,0.0453,0.0297,6.0536,0,   NaN,0.0,6.0767,0.0,5,5,CSminus1,HC,189
1,2,2.2365,0.0396,0.0002,0.0939,0.1904,6.2519,2,1.9165,5.0998,6.524,0.2579,5,5,CSplusUS1,VCC,86
