Event.Nr,CDA.nSCR,CDA.Latency,CDA.AmpSum,CDA.SCR,CDA.ISCR,CDA.PhasicMax,CDA.Tonic,TTP.nSCR,TTP.Latency,TTP.AmpSum,Global.Mean,Global.MaxDeflection,Event.NID,Event.Name,Condition,group,sub
31,3,0.7105,0.1891,0.0003,0.1359,6.5001,5.8118,1,3.5305,0.4848,5.8859,0.4848,5,5,CSminusUS2,HC,189
32,5,0.8305,0.199,0.0022,0.8704,0.376,6.922,0,   NaN,0.0,7.4603,0.0,5,5,CSplus2,HC,189
33,1,0.9605,0.0109,0.0004,0.167,0.197,6.7032,0,   NaN,0.0,6.7675,0.0,5,5,CSminus2,HC,189
34,1,3.4805,0.1214,0.0005,0.2158,4.2607,6.6449,2,3.5105,0.3242,6.7323,0.3082,5,5,CSminusUS2,HC,189
35,1,3.1305,2.0312,0.0249,9.9452,5.8388,9.3975,1,2.3705,1.5892,10.5627,1.4179,5,5,CSplus2,HC,189
36,2,1.2505,4.7297,0.0505,20.1831,8.2123,9.542,0,   NaN,0.0,10.8347,3.7095,5,5,CSminus2,HC,189
37,1,2.7105,3.0971,0.0378,15.1285,12.1464,11.9808,1,2.2305,2.885,13.6861,2.3936,5,5,CSplus2,HC,189
38,1,2.5405,4.9472,0.0657,26.2965,15.6351,11.21,1,1.4505,5.2644,12.9939,4.9502,5,5,CSminus2,HC,189
39,1,2.8495,3.5705,0.045,18.0091,12.4637,10.9703,1,2.1395,3.2505,12.8475,2.9488,5,5,CSminus2,HC,189
40,1,3.1395,3.1016,0.04,15.9871,7.8865,10.3861,1,1.9095,3.6288,11.2046,2.7686,5,5,CSplus2,HC,189
41,3,2.7795,3.1706,0.037,14.8095,10.3732,10.3393,1,2.0395,5.5241,11.3002,2.9265,5,5,CSminusUS2,HC,189
42,1,2.9195,2.0508,0.0262,10.48,5.828,9.4551,1,2.0395,1.6933,10.1335,1.6015,5,5,CSminus2,HC,189
43,2,2.6395,2.6331,0.031,12.3862,7.8188,8.8193,1,1.5995,2.4444,9.6786,2.3874,5,5,CSplus2,HC,189
44,4,1.2095,1.2839,0.0143,5.7087,5.1593,8.8013,3,0.8795,5.0229,9.2128,1.0051,5,5,CSminusUS2,HC,189
45,2,2.5795,0.6686,0.0073,2.9148,1.7181,9.0728,1,2.3995,0.5167,9.2402,0.4271,5,5,CSminus2,HC,189
46,1,2.8895,0.5959,0.0092,3.6731,1.9583,8.3882,1,2.0095,1.1413,8.5619,0.5874,5,5,CSplus2,HC,189
47,2,2.5695,0.5409,0.0056,2.2456,1.6033,8.2851,1,2.9195,0.4936,8.3969,0.2774,5,5,CSplus2,HC,189
48,1,2.5295,1.247,0.0156,6.2535,3.8968,8.1586,1,1.7895,1.2908,8.5607,1.2264,5,5,CSminus2,HC,189
49,3,1.4185,0.3349,0.004,1.6197,1.0604,8.1469,1,2.0585,0.2067,8.3692,0.2067,5,5,CSplus2,HC,189
50,3,2.7285,0.8882,0.01,4.018,5.7625,8.0633,3,1.9285,4.5458,8.2923,0.9311,5,5,CSminusUS2,HC,189
51,2,2.6185,0.2199,0.0024,0.9636,0.685,8.4451,1,2.8585,0.0324,8.6944,0.0336,5,5,CSminus2,HC,189
52,1,2.6685,0.7283,0.0094,3.7695,2.1673,7.8745,1,1.7785,0.7339,8.1163,0.6934,5,5,CSplus2,HC,189
53,2,2.5185,0.1017,0.0027,1.0685,1.5693,7.9214,1,2.2385,0.6216,7.9748,0.128,5,5,CSminus2,HC,189
54,2,2.4285,1.5529,0.0182,7.2778,4.8594,7.9582,1,1.6185,1.4688,8.5442,1.4408,5,5,CSminus2,HC,189
55,2,2.2785,0.8162,0.0097,3.8963,2.7009,8.0741,1,1.5785,0.7323,8.3905,0.7323,5,5,CSplus2,HC,189
56,2,2.5985,0.7449,0.008,3.2065,4.7691,8.0161,3,1.9785,4.8276,8.269,0.7079,5,5,CSminusUS2,HC,189
57,3,2.4585,0.0526,0.0004,0.178,0.237,8.5786,0,   NaN,0.0,8.6818,0.0,5,5,CSplus2,HC,189
58,2,2.5685,1.2149,0.0144,5.7775,3.356,7.8998,1,1.6885,1.2406,8.2432,1.0858,5,5,CSminus2,HC,189
59,1,3.9975,0.3109,0.003,1.215,1.1738,7.9406,1,3.1675,0.3117,8.0177,0.1628,5,5,CSplus2,HC,189
60,1,2.3875,1.2648,0.0177,7.0889,4.3486,8.2448,1,1.7975,1.5142,8.9449,1.1529,5,5,CSminus2,HC,189
61,3,2.6775,1.169,0.0127,5.0964,6.7912,8.1375,3,1.9775,4.6643,8.3791,0.8846,5,5,CSminusUS2,HC,189
62,1,2.5175,0.0113,0.0004,0.1709,0.161,8.4692,0,   NaN,0.0,8.6866,0.0,5,5,CSplus2,HC,189
63,0,   NaN,0.0,0.0004,0.1668,0.3142,7.9365,1,4.3675,0.0682,7.9384,0.0007,5,5,CSplus2,HC,189
64,1,2.3975,1.4599,0.0221,8.8332,4.5875,7.7896,1,1.1975,2.2075,8.4025,1.6381,5,5,CSminus2,HC,189
65,2,2.3975,1.5947,0.0186,7.4506,4.5744,8.8474,1,1.8975,1.532,9.5156,1.2039,5,5,CSminus2,HC,189
66,2,2.3875,0.8124,0.0096,3.8408,2.7506,8.3808,1,1.7175,0.7009,8.6821,0.7006,5,5,CSplus2,HC,189
67,1,2.4675,1.6624,0.0235,9.382,5.4458,8.2269,1,1.6575,2.3319,8.865,1.7525,5,5,CSminus2,HC,189
68,1,1.0175,0.0118,0.0001,0.0319,0.1229,8.271,0,   NaN,0.0,8.5042,0.0,5,5,CSplus2,HC,189
69,1,2.1865,1.4075,0.0229,9.1457,4.2635,8.2473,1,1.1265,2.3328,8.9586,1.6403,5,5,CSminus2,HC,189
31,2,2.3375,0.1117,0.0009,0.3573,1.3601,13.2012,3,1.7575,1.6079,13.2445,0.2214,5,5,CSminusUS2,VCC,86
32,0,   NaN,0.0,0.0,0.0,0.0925,13.4972,0,   NaN,0.0,13.552,0.0001,5,5,CSplus2,VCC,86
33,2,2.4975,0.8148,0.0055,2.1805,2.4397,13.36,1,1.7575,0.8281,13.4298,0.4064,5,5,CSminus2,VCC,86
34,2,2.1875,0.3952,0.0034,1.3794,1.3107,13.5639,1,1.9775,0.3908,13.6144,0.2946,5,5,CSplus2,VCC,86
35,0,   NaN,0.0,0.0,0.0101,0.2675,13.5319,3,3.1575,0.1346,13.5443,0.0623,5,5,CSminusUS2,VCC,86
36,0,   NaN,0.0,0.0001,0.0267,0.2849,13.6718,0,   NaN,0.0,13.7008,0.0014,5,5,CSminus2,VCC,86
