"","s","valid.1.","validBin","alpha....LLcoef.1.","beta....LLcoef.2.","gamma....LLcoef.3."
"alpha",11,0,TRUE,0,-0.427568177152918,35.0619810206452
"alpha1",10,2,TRUE,0.577826450831056,0.576315289051989,0.539016864389882
"alpha2",23,3,TRUE,0.610960906635154,-0.434951327352622,0.69985535977653
"alpha3",24,8,FALSE,0.678531400276687,-0.170589680068948,0.267480235492002
"alpha4",12,7,FALSE,2,0.0726331602800714,0.00573752284343734
"alpha5",17,5,TRUE,1.48999115314486,0.208671110666911,-0.0166029149831369
"alpha6",13,3,TRUE,1.16196642177712,0.64979261424234,0.0957638170457109
"alpha7",21,1,TRUE,0.0173781862245965,-0.450280889258477,1.79855904075139
"alpha8",19,0,TRUE,0.473646418407342,-0.444763147095745,1.10404609611267
"alpha9",14,1,TRUE,0,-0.753340855107589,10.4532247109495
"alpha10",18,0,TRUE,0.306227810810381,0.450875924926114,1.59211813439993
"alpha11",27,9,FALSE,1.2527893664613,-0.617721733579229,-0.0555247304098098
"alpha12",29,4,TRUE,0,2,0.820252726546709
"alpha13",30,6,FALSE,1.74333452314965,0.582988700354644,0.00878295705009744
"alpha14",32,5,TRUE,2,-1.74148344365785,0.0028606769542133
"alpha15",33,4,TRUE,0.548071295369502,0.3601567587104,0.309642219154109
"alpha16",35,1,TRUE,0,1.33414972975673,2.07459921071221
"alpha17",39,10,FALSE,2,0.198411723684247,0.00448320971218005
"alpha18",36,6,FALSE,1.58089377904239,-0.101830181710417,0.0239084178647097
"alpha19",38,1,TRUE,0.644451463908777,0.0303555396955789,0.828339948537597
"alpha20",41,4,TRUE,0.714711790285491,0.0278095590450908,0.248679336254602
"alpha21",42,8,FALSE,1.46960125646804,1.9415285074687,0.0124836634825754
"alpha22",43,3,TRUE,0.654118031088111,-0.285577285024729,0.541606427268621
"alpha23",44,0,TRUE,0.648310241069496,1.52927896043996,0.240466904181531
"alpha24",46,2,TRUE,0.300890387725725,1.46634301221483,1.78421819563899
"alpha25",47,7,FALSE,2,-0.357592541643203,0.0214498872285086
"alpha26",50,2,TRUE,0,0.154083835420368,4.06638155802352
"alpha27",53,0,TRUE,0.506921115579564,0.00330093184793165,1.04272794438872
"alpha28",54,4,TRUE,0.608476243340423,-2,0.178438277657639
"alpha29",55,4,TRUE,0.311754924876664,0.81160715813567,1.28355189690442
"alpha30",56,4,TRUE,0.209031917415073,2,0.272502402831546
"alpha31",58,1,TRUE,0.206220096624805,-0.532685745643801,5.59735177524179
"alpha32",57,0,TRUE,0.64851358538383,0.278788472085506,0.815905143713931
"alpha33",61,4,TRUE,0.764106023635802,1.00213661905524,0.264210592023609
"alpha34",66,1,TRUE,0.626207620023408,-0.068214949951244,1.14910494386212
